N,h,k,energy,variance
6,2.0,0.03157894736842105,-74.36076731719051 - 8.885085375776036e-12im,1.2162166967755184e-5
6,2.0,0.0631578947368421,-74.18820884640621 - 6.1579878349316e-11im,1.2665437679970637e-5
6,2.0,0.09473684210526315,-73.87520682198479 + 1.6037953881609113e-9im,1.3605046660813969e-5
6,2.0,0.1263157894736842,-73.33361706749719 + 3.107993029605183e-11im,1.5827374227228574e-5
6,2.0,0.15789473684210525,-72.57404067437497 + 0.5204802735712644im,0.0001835849561757641
6,2.0,0.1894736842105263,-72.08454541415745 + 1.0307141787862513im,1.7188948731927667e-5
6,2.0,0.22105263157894736,-71.58702209552152 - 1.5939614281355254im,1.581835294928169e-5
6,2.0,0.25263157894736843,-71.11360813614034 + 2.2076087417311534im,1.3971695807413198e-5
6,2.0,0.28421052631578947,-70.65700186905731 + 2.8568226735356674im,1.2141206752858125e-5
6,2.0,0.3157894736842105,-70.21336877820346 + 3.5375202206775143im,1.0294278581568506e-5
6,2.0,0.34736842105263155,-69.78106871774497 - 4.245920829855713im,8.710427209734917e-6
6,2.0,0.37894736842105264,-69.35871727417272 + 4.978889714489483im,7.36098263587337e-6
6,2.0,0.41052631578947363,-68.94525467340566 + 5.7339078467323485im,6.153622962301597e-6
6,2.0,0.5368421052631579,-67.36492752384355 - 8.937714816902385im,3.0366391001734883e-6
6,2.0,0.4421052631578947,-68.53980276382507 + 6.508884751866221im,5.214214979787357e-6
6,2.0,0.5684210526315789,-66.98546494030685 + 9.777839783030997im,2.520087036828045e-6
6,2.0,0.4736842105263157,-68.14164357609694 - 7.302098534997877im,4.334599907451775e-6
6,2.0,0.6,-66.61145306708518 + 10.631570042421169im,2.10293637792347e-6
6,2.0,0.5052631578947367,-67.75018487104302 - 8.11211659204273im,3.660387847048696e-6
