h,k,r,M_z,c_r_z,cc_r_z
2.75,0.25,0,0.2411813735961914,1.0,0.9418253307085251
2.75,0.25,1,0.2411813735961914,0.14505958557128906,0.08689006089116447
2.75,0.25,2,0.2411813735961914,0.08235677083333333,0.02418878321865729
2.75,0.25,3,0.2411813735961914,0.06880378723144531,0.010636411141604185
2.75,0.25,4,0.2411813735961914,0.06423377990722656,0.006068698450690135
0.5,1.0,0,0.9856071472167969,1.0,0.028578144672792405
0.5,1.0,1,0.9856071472167969,0.9721212387084961,0.0006998417156864889
0.5,1.0,2,0.9856071472167969,0.9720166524251302,0.0005952066809792692
0.5,1.0,3,0.9856071472167969,0.9720220565795898,0.0006006395851727575
0.5,1.0,4,0.9856071472167969,0.9720115661621094,0.000590173585806042
