h,k,r,M_z,M_z_err,c_r_z,c_r_z_err,cc_r_z,cc_r_z_err
2.75,0.25,0,(-0.24116261800130206+0j),0.0005574807552453667,(1+0j),,(0.9418317093901957+0j),(0.0001901258477986046+0j)
2.75,0.25,1,(-0.24116261800130206+0j),0.0005574807552453667,(0.14254336886935762+0j),(0.0002443998809842637+0j),(0.08438193751822433+0j),(0.00026223651339728644+0j)
2.75,0.25,2,(-0.24116261800130206+0j),0.0005574807552453667,(0.07517581515842013+0j),(0.00017384996531287852+0j),(0.0170161674565558+0j),(0.00018639485740777072+0j)
2.75,0.25,3,(-0.24116261800130206+0j),0.0005574807552453667,(0.06344265407986112+0j),(0.00015525316913336657+0j),(0.0052843603214973375+0j),(0.00016649105255014547+0j)
2.75,0.25,4,(-0.24116261800130206+0j),0.0005574807552453667,(0.06037839253743489+0j),(0.0001734856901489319+0j),(0.0022201762347119963+0j),(0.000186056654643531+0j)
2.75,0.25,5,(-0.24116261800130206+0j),0.0005574807552453667,(0.05938805474175347+0j),(0.0002448522497760134+0j),(0.0012281838636327947+0j),(0.00026266492251164316+0j)
2.75,0.25,6,(-0.24116261800130206+0j),0.0005574807552453667,(0.058559841579861105+0j),(0.0004902133867466188+0j),(0.00040049116230673256+0j),(0.0005257979504137127+0j)
0.5,1.0,0,(-0.7586250305175781+0j),0.004497673386593989,(1+0j),,(0.4244813642969044+0j),(0.0048250326887596205+0j)
0.5,1.0,1,(-0.7586250305175781+0j),0.004497673386593989,(0.9502648247612847+0j),(0.00024481688171885474+0j),(0.37475014390656725+0j),(0.0024250035769453507+0j)
0.5,1.0,2,(-0.7586250305175781+0j),0.004497673386593989,(0.9494495391845703+0j),(0.000177426817385762+0j),(0.3739370951095932+0j),(0.0017152256678608286+0j)
0.5,1.0,3,(-0.7586250305175781+0j),0.004497673386593989,(0.9493793063693576+0j),(0.00015867234642471102+0j),(0.3738684933878378+0j),(0.0015341697255665423+0j)
0.5,1.0,4,(-0.7586250305175781+0j),0.004497673386593989,(0.9494143591986761+0j),(0.00017723443954430177+0j),(0.3739038891572919+0j),(0.0017152428206044584+0j)
0.5,1.0,5,(-0.7586250305175781+0j),0.004497673386593989,(0.9493946499294704+0j),(0.00025089434594269673+0j),(0.37388265069199+0j),(0.0024257112942081527+0j)
0.5,1.0,6,(-0.7586250305175781+0j),0.004497673386593989,(0.9493891398111979+0j),(0.0005025121260882816+0j),(0.3738762092285065+0j),(0.004851434952086396+0j)
