ks,Gs_exact,E_estimate
0.1,(-4.05002126793245+3.3207119981235456e-16j),(-4.051103283886774-0.003148037342964137j)
0.2,(-3.919360354538473+2.6604595885134476e-16j),(-3.92075192650745-0.002416439374056597j)
0.30000000000000004,(-3.64725788489729+3.9880373534003554e-16j),(-3.6455157468920993+0.005964544572576037j)
0.4,(-3.2075620409898375-0.3005729462938338j),(-3.223691844731954-0.3290571930368553j)
0.5,(-2.9593468485769305-0.6939912164772124j),(-2.955562331555477-0.6925192517455451j)
0.6,(-2.7701715627751913+1.0854723959480295j),(-2.7717883857771684-1.0891005827636813j)
0.7000000000000001,(-2.6065299500287145+1.484531766044702j),(-2.6094636749174303-1.4819455268974928j)
0.8,(-2.462356639829085-1.8901751914689737j),(-2.461864484278969-1.8906860767447327j)
0.9,(-2.332738060423303+2.3018727987809013j),(-2.332567314418011-2.30104666249127j)
1.0,(-2.2151507874645833-2.71932013474595j),(-2.2158153550533726-2.719342612122211j)
