ks,Gs_exact,E_estimate
0.1,(-3.0376188858694566+1.1326236879206163e-16j),(-3.0255515435867135-0.009860786455993848j)
0.2,(-2.9397499240631144+1.9290317088285828e-16j),(-2.9424172169863625-0.00826564636794913j)
0.30000000000000004,(-2.737200619844882+1.0935650199128248e-15j),(-2.754498084941513-0.004783622572754657j)
0.4,(-2.402851975673152+0.24132622012971439j),(-2.4059957115645347-0.24122858685777385j)
0.5,(-2.2223252788040364-0.5147067758049249j),(-2.230118584754892-0.5164675118426133j)
0.6,(-2.0755384675760364+0.8142030131321065j),(-2.0722101030130924-0.8122878934932217j)
0.7000000000000001,(-1.954975889854445-1.1140937031233116j),(-1.9552064412562602-1.1134050483889413j)
0.8,(-1.8470112693034788+1.4176465287769822j),(-1.846801063067011-1.417903084495887j)
0.9,(-1.7495873460795208+1.7263233895026169j),(-1.7495261646202043-1.7266525067735092j)
1.0,(-1.6613415918189904+2.039465986913466j),(-1.6619705434794088-2.0383064277431266j)
