ks,Gs_exact,E_estimate
0.1,(-4.556266316131285-1.0029847452700733e-16j),(-4.5560884643558275+0.00011943140753012379j)
0.2,(-4.409258265314999+6.639277421921021e-16j),(-4.409638506933109+4.501838828640915e-05j)
0.30000000000000004,(-4.1028272455887365-2.7919118810270934e-16j),(-4.103131790283601+0.00010111536859266599j)
0.4,(-3.60238050837413+0.3354884008625616j),(-3.6049307087007727-0.33517712765091784j)
0.5,(-3.33100083026549-0.7802080671227001j),(-3.3313361481927686-0.7802589979081199j)
0.6,(-3.115971221253978-1.2210903107983926j),(-3.115890770020128-1.220999017810491j)
0.7000000000000001,(-2.9324099930822367+1.6702048033701806j),(-2.9324039276671288-1.6702510832557373j)
0.8,(-2.7701708357042563-2.126421136848505j),(-2.7701814858140703-2.126427327544229j)
0.9,(-2.6243227051648566+2.589603027496317j),(-2.624324354044244-2.5895989656997926j)
1.0,(-2.492043651611286+3.0592371576068045j),(-2.492047211538286-3.0592306229083186j)
