h,k,r,M_z,M_z_err,c_r_z,c_r_z_err,cc_r_z,cc_r_z_err,M_z_LR,M_z_LR_err,c_r_z_LR,c_r_z_LR_err,cc_r_z_LR,cc_r_z_LR_err
2.75,0.25,0,(0.001290283203125+0j),0.0006644600962522504,(1+0j),,(0.9999863429926336+0j),(3.497369298028363e-06+0j),(0.0017298167728698325+0.2729422748435208j),0.0015344560781318589,(0.9999999839685713+5.36270117415933e-09j),(0.0014493857093500347+0j),(1.0744914105736434-0.0009405792013962744j),(0.001322851127609257+1.674268444014493e-06j)
2.75,0.25,1,(0.001290283203125+0j),0.0006644600962522504,(0.0992987060546875+0j),(0.00028226083293535345+0j),(0.09929353632032871+0j),(0.00028226613532005696+0j),(0.0017298167728698325+0.2729422748435208j),0.0015344560781318589,(0.041258173691846284+0.0006235790835137748j),(0.0007705186868119435+0j),(0.11575472412606874-0.00031831717379044626j),(0.0007113386611696455+7.783759836579891e-07j)
2.75,0.25,2,(0.001290283203125+0j),0.0006644600962522504,(0.0235247802734375+0j),(0.00020131884474242464+0j),(0.023522436912171544+0j),(0.00020132260015300187+0j),(0.0017298167728698325+0.2729422748435208j),0.0015344560781318589,(-0.04501612238571497+0.0006900316595128119j),(0.0005448271542663642+0j),(0.029477715802482166-0.00025465198944781605j),(0.000502979479590795+5.503810775855993e-07j)
2.75,0.25,3,(0.001290283203125+0j),0.0006644600962522504,(0.008784179687500001+0j),(0.00020110675781123837+0j),(0.00878431436372921+0j),(0.00020111050365903094+0j),(0.0017298167728698325+0.2729422748435208j),0.0015344560781318589,(-0.06312581755101837+0.0005708776689455239j),(0.0005447662162838116+0j),(0.011367907708753889-0.0003736565671808446j),(0.0005029134594566691+5.504547470793544e-07j)
2.75,0.25,4,(0.001290283203125+0j),0.0006644600962522504,(0.003037109375+0j),(0.00028471328713950463+0j),(0.003039705539122224+0j),(0.00028471857307920507+0j),(0.0017298167728698325+0.2729422748435208j),0.0015344560781318589,(-0.07005069128489981+0.0006869003941771123j),(0.0007703742559368802+0j),(0.004445356800473085-0.00025937300043993707j),(0.0007111821189909989+7.78483510387786e-07j)
0.5,1.0,0,(0.9746179199218751+0j),0.0001785213395918884,(1+0j),,(0.050119514595717195+0j),(0.0002460513092109673+0j),(0.9855958413748817+0.0201660356091565j),0.0004657225378054263,(0.9999999887886485-2.1212213483732263e-09j),(0.00045659412539903436+0j),(0.02900758206386903-0.03975078894976369j),(0.0007936040187758003+1.0864395021232961e-05j)
0.5,1.0,1,(0.9746179199218751+0j),0.0001785213395918884,(0.95020263671875+0j),(0.00012414895621858292+0j),(0.00032253358513116835+0j),(0.0001747836010546069+0j),(0.9855958413748817+0.0201660356091565j),0.0004657225378054263,(0.970681313593814+0.0395394949449032j),(0.0002373176508876831+0j),(-0.00031117211294894086-0.0002115780762714746j),(0.00040205883925790124+5.361076911060766e-06j)
0.5,1.0,2,(0.9746179199218751+0j),0.0001785213395918884,(0.94990478515625+0j),(8.76487902578547e-05+0j),(2.4764921981841325e-05+0j),(0.00012349319622433273+0j),(0.9855958413748817+0.0201660356091565j),0.0004657225378054263,(0.970964321388864+0.039738837246785695j),(0.00016774589998684225+0j),(-2.8216055090453106e-05-1.2333622133247693e-05j),(0.0002842613515388992+3.79132550644354e-06j)
0.5,1.0,3,(0.9746179199218751+0j),0.0001785213395918884,(0.9498638916015625+0j),(8.778334644966875e-05+0j),(-1.6215492505580186e-05+0j),(0.00012358806851683714+0j),(0.9855958413748817+0.0201660356091565j),0.0004657225378054263,(0.9709765957359702+0.03977632743973019j),(0.00016774289658656502+0j),(-1.589039602690523e-05+2.519914713575197e-05j),(0.00028425957827766347+3.791359439155916e-06j)
0.5,1.0,4,(0.9746179199218751+0j),0.0001785213395918884,(0.9498468017578126+0j),(0.0001236786515759584+0j),(-3.3280556090176104e-05+0j),(0.00017444939523186495+0j),(0.9855958413748817+0.0201660356091565j),0.0004657225378054263,(0.9709875311221312+0.03979466144537497j),(0.0002372207057909674+0j),(-4.91898345076569e-06+4.3519079181739556e-05j),(0.00040200165603746104+5.361814838386979e-06j)
