k,h,E,F,M_x,M_z,M_x_nh,M_z_nh
0.0,0.0,3.94514481473179e-17,0.8234296622598355,(-8.473451692891864e-19+6.162975822039155e-33j),(0.11815319722339562-2.8395217205926027e-49j),(6.380786693351446e-18+8.433785133292406e-17j),(0.1434891195188837-0.4591267608705735j)
0.030303030303030304,0.0,0.27272727272727354,0.9999999999999996,(1.3368605880619097e-17-1.1555579666323415e-33j),(-1.0000000000000022-5.551115123125783e-17j),(1.3368605880621701e-17-2.6347512295175278e-18j),(-1.0000000000000004-5.0377091931541283e-17j)
0.06060606060606061,0.0,0.5454545454545457,1.0,(-3.337044448231778e-17+3.0814879110195774e-33j),(-0.9999999999999994+1.9512304736041524e-47j),(-3.337044448231782e-17+5.267252791440546e-17j),(-1.0000000000000002-1.0376743205927018e-16j)
0.09090909090909091,0.0,0.8181818181818195,1.0,(2.068775179069758e-17+6.939155132220747e-34j),(1.0000000000000029-3.5178307905248126e-48j),(2.068775179069773e-17+3.2034437169008394e-17j),(1.0000000000000002-0j)
0.12121212121212122,0.0,1.0909090909090895,0.9999999999999998,(1.2858619957334044e-16-1.6524554396743883e-32j),(0.9999999999999991-5.551115123125783e-17j),(1.2858619957334056e-16-1.8455474376696738e-17j),(1.0000000000000004-0j)
0.15151515151515152,0.0,1.36363636363636,1.0,(-3.7212551949409565e-17-6.162975822039155e-33j),(-0.9999999999999968-1.3877787807814457e-17j),(-3.7212551949409627e-17-3.1139785031008995e-17j),(-1.0000000000000002+0j)
0.18181818181818182,0.0,1.6363636363636356,1.0,(1.1508872543555748e-17-1.615614624655332e-34j),(0.9999999999999987-5.228432831506158e-49j),(1.1508872543555771e-17+1.669305817179494e-17j),(1.0000000000000002+5.017266467730178e-17j)
0.21212121212121213,0.0,1.9090909090909096,1.0,(6.622838705908751e-17+4.5143182885498984e-33j),(1.0000000000000009-8.974921138908317e-47j),(6.622838705908747e-17+5.550523617779577e-17j),(1.0000000000000002+1.3837090481640987e-17j)
0.24242424242424243,0.0,2.181818181818185,0.9999999999999998,(-1.0175272677868778e-17-7.703719777548943e-34j),(-0.9999999999999992+1.5395591419906598e-46j),(-1.017527267786901e-17+1.0130015919084384e-17j),(-1.0000000000000004-0j)
0.2727272727272727,0.0,2.454545454545458,0.9999999999999996,(3.3560990654725657e-17+1.7024200605839775e-33j),(1.0000000000000004-5.551115123125783e-17j),(3.356099065472564e-17-3.983445570339311e-17j),(1.0000000000000002-8.230394447551761e-17j)
0.30303030303030304,0.0,2.7272727272727324,1.0,(-1.4180023073797658e-16+3.634020174741054e-33j),(1.0000000000000002+2.0944349685914597e-48j),(-1.418002307379766e-16+3.990617318615398e-17j),(1.0000000000000002+9.48836053448074e-17j)
0.33333333333333337,0.0,3.0000000000000027,1.0,(-2.9589045208746706e-17-3.6810278173193245e-34j),(1.0000000000000016-1.3367934492275817e-49j),(-2.958904520874667e-17-1.8475353061826868e-17j),(1.0000000000000002-0j)
0.36363636363636365,0.0,3.2727272727272703,1.0000000000000002,(-5.644843989940035e-16+1.0292224004013407e-31j),(1-1.401477155464659e-45j),(-5.644843989940037e-16+7.061818090696966e-16j),(1.0000000000000002+0j)
0.3939393939393939,0.0,3.5454545454545445,0.9999999999999998,(-6.263333846353407e-17+0j),(-0.9999999999999984-1.5814967509664658e-49j),(-6.263333846353421e-17+1.7054471849380606e-18j),(-1.0000000000000002+2.7653727304513526e-17j)
0.42424242424242425,0.0,3.818181818181822,1.0,(-1.1503924038544941e-17-3.243546666573616e-33j),(0.9999999999999999+1.168455879478936e-47j),(-1.1503924038544953e-17+2.7103003165557636e-17j),(1.0000000000000002+0j)
0.4545454545454546,0.0,4.0909090909090855,1.0000000000000004,(-4.5026796102064784e-17+7.122197657741626e-33j),(1-5.551115123125783e-17j),(-4.502679610206479e-17+4.0989487083684076e-17j),(1.0000000000000002-1.5969948328044998e-16j)
0.48484848484848486,0.0,4.363636363636365,0.9999999999999996,(-3.0422228471272944e-18-3.0814879110195774e-33j),(-1.0000000000000002-5.551115123125783e-17j),(-3.0422228471272725e-18+1.3162674102355886e-17j),(-1.0000000000000002-1.0680266880920812e-16j)
0.5151515151515151,0.0,4.636363636363633,1.0,(2.6949159432365102e-17+1.232595164407831e-32j),(-1.0000000000000007+8.541896795734666e-50j),(2.6949159432365086e-17+7.890614402837368e-17j),(-1.0000000000000002-8.126981866667092e-17j)
0.5454545454545454,0.0,4.909090909090905,1.0,(1.8030596979508197e-16+6.162975822039155e-33j),(-0.9999999999999999-5.551115123125783e-17j),(1.8030596979508207e-16-1.1072558991857555e-16j),(-1.0000000000000002-1.69530333604023e-16j)
0.5757575757575758,0.0,5.1818181818181985,1.0000000000000002,(-2.981953648998822e-18-3.222516197580714e-33j),(0.9999999999999993+5.551115123125783e-17j),(-2.981953648998807e-18+2.531924124560242e-17j),(1.0000000000000002+1.0252178087118076e-16j)
