k,h,E,F,M_x,M_z
-0j,0.0,0.0,0.24062278104806578,(-6.294771337379976e-18+6.162975822039155e-33j),(9.439785639754373e-17+3.851859888774472e-33j)
-0.030303030303030304j,0.0,0.0,1.5230187723416759e-30,(-1.7505136004685882e-17-5.079061184177241e-33j),(-7.094406806253482e-18-4.906846546464264e-33j)
-0.06060606060606061j,0.0,0.0,1.4941023208654543e-31,(-1.0495593644337678e-18-1.1111819933369391e-33j),(4.0890044920559114e-17-1.2501014618867601e-33j)
-0.09090909090909091j,0.0,0.0,2.0007286286570992e-33,(1.4492958763506614e-17-7.807797241781596e-34j),(6.940815283457429e-19-1.34118651675378e-34j)
-0.12121212121212122j,0.0,0.0,2.4009348659273795e-30,(-1.9029020217647518e-17+2.5376916980354723e-33j),(-1.9777618058400373e-17-6.535799326263881e-34j)
-0.15151515151515152j,0.0,0.0,1.6109144970534454e-33,(9.560600950642245e-17-6.179913603419143e-33j),(-7.268020540485098e-18+4.686372026703104e-33j)
-0.18181818181818182j,0.0,0.0,4.75948042494761e-34,(3.4773391239010516e-18+2.7702100483678816e-34j),(-9.471690727552496e-18-1.3248328741387485e-33j)
-0.21212121212121213j,0.0,0.0,1.322767676905752e-33,(5.1593971159975445e-18-1.180728814503452e-33j),(3.5575419446835935e-18+1.7904681776169405e-33j)
-0.24242424242424243j,0.0,0.0,2.601184606026298e-34,(7.558517415549378e-17+1.7821140732453272e-32j),(9.529738505201536e-17+2.50121873774038e-33j)
-0.2727272727272727j,0.0,0.0,7.1661233792781326e-34,(2.2148672562761746e-16+3.7553495926902926e-33j),(6.729280745136452e-17+1.4220868618031024e-32j)
-0.30303030303030304j,0.0,0.0,4.8995157129687287e-32,(-2.6973051272333302e-17-3.404170109601181e-33j),(-9.164634882834934e-17+4.6889262282231454e-33j)
-0.33333333333333337j,0.0,0.0,7.910127747651981e-34,(-6.209553144029104e-18+1.6522343929221492e-33j),(-1.207027787815521e-17-1.6843741316090245e-33j)
-0.36363636363636365j,0.0,0.0,3.912950693584909e-34,(4.171458004745284e-18+2.4636492345138682e-33j),(1.661741725330247e-17-1.4791861655089396e-33j)
-0.3939393939393939j,0.0,0.0,1.0784625112874734e-31,(-1.5866788347969566e-16+6.820624314264804e-33j),(2.658383844905985e-17-1.1595586668451405e-32j)
-0.42424242424242425j,0.0,0.0,5.214884161028434e-32,(3.5228145514779457e-17-9.75224270636899e-34j),(-2.5937042871718314e-17+1.915767366252011e-33j)
