E,z,var,E_Final,E_ED
(-41.34854295155425-0.26252839008143375j),(-48.75-26.25j),779.6580010125044,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-40.660147484824456-4.070210992893203j),(-48.75-26.25j),591.7292635959159,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-39.78668606458941-6.702443805897457j),(-48.75-26.25j),481.1821323602593,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-38.63805315313002-9.176740355647402j),(-48.75-26.25j),413.4080032322725,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-37.54187099152976-10.714702911471884j),(-48.75-26.25j),371.7129329124996,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-36.9318822609365-11.520756466421732j),(-48.75-26.25j),339.2808222374918,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-36.20644705060535-12.458726120715417j),(-48.75-26.25j),331.23519537378274,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-35.904922176134725-12.761010861775096j),(-48.75-26.25j),323.98006847782557,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-35.53223745645115-13.181552670013065j),(-48.75-26.25j),322.09473660829303,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-35.100793475921904-13.584450392392554j),(-48.75-26.25j),319.802061425461,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.81734639303261-14.066813863867j),(-48.75-26.25j),319.22606416520426,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.7884020841782-13.963180511453595j),(-48.75-26.25j),318.07179315841563,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.87074785080226-13.610586787001681j),(-48.75-26.25j),317.9431616433116,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.72338215078623-13.767526836519488j),(-48.75-26.25j),316.7419088578266,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.81413494202317-13.803512821470514j),(-48.75-26.25j),316.60763245973834,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.621406330940985-13.904130237846609j),(-48.75-26.25j),317.34705886712317,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.56487726956089-14.195791381699562j),(-48.75-26.25j),317.64186855283333,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.54801372047668-14.050959781633768j),(-48.75-26.25j),317.21882522794465,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.54745299617486-14.102225979929141j),(-48.75-26.25j),317.20050920906294,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.44660058850035-14.208156618327415j),(-48.75-26.25j),316.88929121818666,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.684935596668936-13.893822400696779j),(-48.75-26.25j),316.919934858776,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.59589259100095-14.069070070816935j),(-48.75-26.25j),317.0946059058065,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.542184122334-14.151000230008526j),(-48.75-26.25j),316.91282723205563,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.61569378720589-14.103738351717162j),(-48.75-26.25j),317.2244681719874,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.648219984252854-13.853309406248444j),(-48.75-26.25j),317.0220492553151,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.65479112738287-14.021772767030296j),(-48.75-26.25j),317.03474478461993,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.498358561330456-14.057709077088692j),(-48.75-26.25j),316.80719512721316,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.701251520039406-13.87734189696359j),(-48.75-26.25j),317.0679475561775,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.414895733702544-14.169285123928134j),(-48.75-26.25j),317.1095131852678,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.411243145064-14.264576425179202j),(-48.75-26.25j),317.0847553386397,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.433880631870274-14.37004452660103j),(-48.75-26.25j),317.2771498013978,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.4764212616037-14.202557143903714j),(-48.75-26.25j),317.25037285200335,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.41028681869463-14.347579738634478j),(-48.75-26.25j),316.8141543260619,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.29585361484595-14.485522664987124j),(-48.75-26.25j),316.95665312340515,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.6387840602321-14.01973086851478j),(-48.75-26.25j),316.95368260785546,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.3968391556399-14.237838583785663j),(-48.75-26.25j),316.93730902066306,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.65194187837978-14.077353272914573j),(-48.75-26.25j),317.03765440242887,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.32122959610087-14.29439168899238j),(-48.75-26.25j),317.11678649007746,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.530143173282475-14.133648310090209j),(-48.75-26.25j),317.0552626764526,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.6670288172455-13.984816045243477j),(-48.75-26.25j),316.9954006048288,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.46654391818275-14.245812666092247j),(-48.75-26.25j),316.84088907488814,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.52512917880537-14.213145981860494j),(-48.75-26.25j),316.9752103193444,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.44142172144556-14.08581265975267j),(-48.75-26.25j),316.96649240788213,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.69391161286096-13.818893461209507j),(-48.75-26.25j),317.1303694379638,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.64819972805376-14.13964859286951j),(-48.75-26.25j),317.30398224994224,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.39522980699926-14.103445175531116j),(-48.75-26.25j),316.98668695410555,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.58084823674058-14.01013532240596j),(-48.75-26.25j),317.16669951799764,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.441979307417114-14.293692976628769j),(-48.75-26.25j),317.0479357566647,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.61278201311555-13.965400770397855j),(-48.75-26.25j),317.24770927282856,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
(-34.514700507106575-14.091284179931584j),(-48.75-26.25j),317.0531873398241,(-25.612053594491364-7.000962754297432j),(-25.238749219512442-7.377384305848825j)
