E,z,var,E_Final,E_ED
(-41.35885510205224+0.130922277253996j),(-48.75-26.25j),793.1105297736927,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-40.688687360180104-4.2177717131368135j),(-48.75-26.25j),582.2938630407016,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-39.71625397946807-7.102877994079904j),(-48.75-26.25j),483.24311007803044,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-38.68263528480896-9.116136552744347j),(-48.75-26.25j),398.99103427906215,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-37.72728228855935-10.554168054906029j),(-48.75-26.25j),364.15423013975817,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-36.920492062586725-11.585282993112383j),(-48.75-26.25j),341.70401395647383,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-36.303151792615225-12.319885690435548j),(-48.75-26.25j),334.7167829746843,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-35.83007446229119-12.832037761911945j),(-48.75-26.25j),326.72960956045426,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-35.47508758958239-13.19654077640702j),(-48.75-26.25j),321.261151132665,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-35.199935630972575-13.47077781592943j),(-48.75-26.25j),317.9751211189448,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-35.02680650186195-13.63784954227399j),(-48.75-26.25j),317.9646191800036,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.88239105405069-13.786664585483564j),(-48.75-26.25j),317.9713122696257,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.780085045600856-13.889147498831061j),(-48.75-26.25j),317.36697643990004,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.67467613305129-13.988471235949365j),(-48.75-26.25j),317.7785148656223,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.592710822984685-14.03316492076757j),(-48.75-26.25j),316.9933765531437,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.566233230410496-14.063712761128242j),(-48.75-26.25j),316.7405165608265,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.549955252368804-14.08995931273565j),(-48.75-26.25j),317.1500426981649,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.54320300059684-14.115407090168782j),(-48.75-26.25j),317.45092733411065,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.52136180432947-14.140887292594739j),(-48.75-26.25j),316.8995703351043,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.516512662623626-14.137925587780618j),(-48.75-26.25j),317.0354658804097,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.51146116739892-14.144629637393896j),(-48.75-26.25j),317.1200227007523,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.51417773929276-14.151772741441262j),(-48.75-26.25j),316.80208545940553,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.51622801474026-14.154177249328823j),(-48.75-26.25j),316.8484853336765,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.52415437325948-14.15437350046168j),(-48.75-26.25j),316.9800193883698,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.52252179256289-14.156652890823837j),(-48.75-26.25j),317.2428000246131,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.512647175056394-14.166032822181538j),(-48.75-26.25j),317.2845243938146,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.49812282720865-14.175924533494904j),(-48.75-26.25j),317.3956035489575,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.477361529345664-14.183534979209535j),(-48.75-26.25j),317.0648936464647,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.48345734356723-14.1840956074996j),(-48.75-26.25j),316.8692665862809,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.492769627010524-14.183424008447632j),(-48.75-26.25j),316.93177610393565,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.4992253553634-14.183381378580709j),(-48.75-26.25j),316.8475053136534,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.50615143624892-14.174636202344542j),(-48.75-26.25j),316.83431251890556,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.510660031963155-14.171858714284626j),(-48.75-26.25j),317.0086223539208,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.50876564329144-14.176367852835776j),(-48.75-26.25j),316.8708251647015,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.51355859078646-14.170080617788784j),(-48.75-26.25j),317.07392354067196,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.508338988459435-14.174914914749657j),(-48.75-26.25j),317.0809958717293,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.503752427726944-14.179389549890985j),(-48.75-26.25j),317.094217755648,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.49431633372969-14.185937155342325j),(-48.75-26.25j),317.14265779254777,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.49550122722818-14.18679490790425j),(-48.75-26.25j),316.9559421557571,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.499972732120646-14.186052662815317j),(-48.75-26.25j),316.72226332275426,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.510561893958396-14.178416169446344j),(-48.75-26.25j),316.9297465255884,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.5123340679947-14.179751688099456j),(-48.75-26.25j),316.96342108341634,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.5130469696794-14.180107820984613j),(-48.75-26.25j),317.2013646154283,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.505816995812-14.187046763683554j),(-48.75-26.25j),317.0951488709335,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.50291924133763-14.185401566541579j),(-48.75-26.25j),317.10387153189214,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.50605431955294-14.181872389285576j),(-48.75-26.25j),316.8854764650714,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.50385491850651-14.178698514680569j),(-48.75-26.25j),317.1351963530333,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.49904596003158-14.181823654933424j),(-48.75-26.25j),317.34451504086326,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.49399141614581-14.186045406062759j),(-48.75-26.25j),316.90861719103253,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.49587568703603-14.182801105406993j),(-48.75-26.25j),317.26939657839404,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.48376605806735-14.192880054869507j),(-48.75-26.25j),317.0537042804347,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.48570962305894-14.190389357965287j),(-48.75-26.25j),317.0294289775569,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.48897581659529-14.18562061129807j),(-48.75-26.25j),316.8893025954751,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.493441810133255-14.180818968290662j),(-48.75-26.25j),316.8529641011528,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.49481795596514-14.180865760470844j),(-48.75-26.25j),317.0849501803683,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.491004077532075-14.182101718682596j),(-48.75-26.25j),317.0767423011591,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.49722455319038-14.180845230186543j),(-48.75-26.25j),317.1537488856219,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.49876954563817-14.181501642277649j),(-48.75-26.25j),316.95771050697863,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.49746510684984-14.182332262269094j),(-48.75-26.25j),316.8657118990273,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.5036963496091-14.179102888991068j),(-48.75-26.25j),316.8699973848194,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.507641604009464-14.178433316098692j),(-48.75-26.25j),316.9464195236085,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.50697784741843-14.17919770391615j),(-48.75-26.25j),317.0526030789975,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.509744875995274-14.177256419090815j),(-48.75-26.25j),316.9595491486422,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.510886836500454-14.178456819844707j),(-48.75-26.25j),317.0346441978084,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.505756268013776-14.182133704507198j),(-48.75-26.25j),316.9064025179446,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.50850145331947-14.17751597665739j),(-48.75-26.25j),316.83719066737774,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.51175738143376-14.172558544672462j),(-48.75-26.25j),317.06793287186133,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.513821628985-14.171170238229339j),(-48.75-26.25j),316.9694642454266,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.51384886033086-14.171036641761411j),(-48.75-26.25j),316.9399057638518,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.517421218399235-14.172732000828416j),(-48.75-26.25j),317.0935852126037,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.5165937200207-14.174321490011087j),(-48.75-26.25j),317.2099807140646,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.513061517522196-14.179456626482732j),(-48.75-26.25j),317.00425032679846,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.51089762523592-14.18137928467749j),(-48.75-26.25j),317.1881064453102,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
(-34.50774818007685-14.186601660757937j),(-48.75-26.25j),317.06513711632965,(-25.23996152218348-7.384754018998841j),(-25.238749219512442-7.377384305848825j)
