E,z,var,E_Final,E_ED
(-41.35885510205224+0.130922277253996j),(-48.75-26.25j),793.8003421258329,(-25.237727511539003-7.37360023268222j),(-25.238749219512442-7.377384305848825j)
(-40.61713892368225-4.184303478984544j),(-48.75-26.25j),581.7376285487262,(-25.237727511539003-7.37360023268222j),(-25.238749219512442-7.377384305848825j)
(-39.64511723100348-7.0408449379349936j),(-48.75-26.25j),478.6091468162602,(-25.237727511539003-7.37360023268222j),(-25.238749219512442-7.377384305848825j)
(-38.58947400986951-9.053554075709071j),(-48.75-26.25j),416.1956497840576,(-25.237727511539003-7.37360023268222j),(-25.238749219512442-7.377384305848825j)
(-37.62880772619488-10.524470743080277j),(-48.75-26.25j),367.7586578790729,(-25.237727511539003-7.37360023268222j),(-25.238749219512442-7.377384305848825j)
(-36.89875039446519-11.523374581736746j),(-48.75-26.25j),353.55254540003506,(-25.237727511539003-7.37360023268222j),(-25.238749219512442-7.377384305848825j)
(-36.171382485842585-12.380692027119258j),(-48.75-26.25j),332.97615857306107,(-25.237727511539003-7.37360023268222j),(-25.238749219512442-7.377384305848825j)
(-35.73109835358308-12.848842753580723j),(-48.75-26.25j),323.38129137858806,(-25.237727511539003-7.37360023268222j),(-25.238749219512442-7.377384305848825j)
(-35.406802707689955-13.205326858808633j),(-48.75-26.25j),321.7485530555751,(-25.237727511539003-7.37360023268222j),(-25.238749219512442-7.377384305848825j)
(-35.15830035560399-13.479723503290257j),(-48.75-26.25j),319.0838267748054,(-25.237727511539003-7.37360023268222j),(-25.238749219512442-7.377384305848825j)
(-34.98047027060158-13.668116016785257j),(-48.75-26.25j),319.38850557085203,(-25.237727511539003-7.37360023268222j),(-25.238749219512442-7.377384305848825j)
(-34.8541134719096-13.810633660310614j),(-48.75-26.25j),318.1943151596233,(-25.237727511539003-7.37360023268222j),(-25.238749219512442-7.377384305848825j)
(-34.74866876993964-13.923578064004419j),(-48.75-26.25j),316.96620966139466,(-25.237727511539003-7.37360023268222j),(-25.238749219512442-7.377384305848825j)
(-34.67886886579813-13.9812998131667j),(-48.75-26.25j),317.33638057924156,(-25.237727511539003-7.37360023268222j),(-25.238749219512442-7.377384305848825j)
(-34.62110265665622-14.0385752480806j),(-48.75-26.25j),317.04547091795024,(-25.237727511539003-7.37360023268222j),(-25.238749219512442-7.377384305848825j)
(-34.58790960597888-14.06941083081796j),(-48.75-26.25j),317.35273838670525,(-25.237727511539003-7.37360023268222j),(-25.238749219512442-7.377384305848825j)
(-34.56281654282525-14.098412075312602j),(-48.75-26.25j),317.16355827709515,(-25.237727511539003-7.37360023268222j),(-25.238749219512442-7.377384305848825j)
(-34.55215945174943-14.118409031296892j),(-48.75-26.25j),317.1669400401639,(-25.237727511539003-7.37360023268222j),(-25.238749219512442-7.377384305848825j)
(-34.534527510649966-14.135074396260187j),(-48.75-26.25j),317.0548724910544,(-25.237727511539003-7.37360023268222j),(-25.238749219512442-7.377384305848825j)
(-34.533336156776535-14.143005338918032j),(-48.75-26.25j),316.94357827819465,(-25.237727511539003-7.37360023268222j),(-25.238749219512442-7.377384305848825j)
(-34.527651953917065-14.149806208731125j),(-48.75-26.25j),317.3351818542881,(-25.237727511539003-7.37360023268222j),(-25.238749219512442-7.377384305848825j)
(-34.51875951023822-14.158627399018442j),(-48.75-26.25j),317.23407703116214,(-25.237727511539003-7.37360023268222j),(-25.238749219512442-7.377384305848825j)
