E,z,var,E_Final,E_ED
(-41.45365548708296-0.16829368597955816j),(-25.238749219512442-7.377384305848825j),354.10055409733485,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-40.864464246463264-1.0167853178737918j),(-25.238749219512442-7.377384305848825j),339.805683873523,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-40.05135123229911-1.8907143150604984j),(-25.238749219512442-7.377384305848825j),289.2707473381145,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-38.81588986823715-2.023443629030966j),(-25.238749219512442-7.377384305848825j),267.5468902640458,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-37.745118894965394-3.1409929912731367j),(-25.238749219512442-7.377384305848825j),230.21397435589563,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-36.13916017547699-3.1776581527925893j),(-25.238749219512442-7.377384305848825j),183.32749976796134,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-34.755273044328945-3.3181770319586503j),(-25.238749219512442-7.377384305848825j),148.25498234079274,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-33.3390690380053-3.2873829872006324j),(-25.238749219512442-7.377384305848825j),119.6283809512542,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-32.045427007118924-3.432022875621132j),(-25.238749219512442-7.377384305848825j),91.66358189615651,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-30.213159139675316-3.5548476487023355j),(-25.238749219512442-7.377384305848825j),69.24173915420137,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-28.87307657795029-4.01465561341676j),(-25.238749219512442-7.377384305848825j),59.66578866485628,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-28.540768488949738-3.708678127415393j),(-25.238749219512442-7.377384305848825j),42.013113241781085,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-27.20267237677316-3.6531368884958746j),(-25.238749219512442-7.377384305848825j),31.238533289416925,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-26.333011097939306-4.688420259955718j),(-25.238749219512442-7.377384305848825j),24.459840760953185,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-25.73604418652214-5.362767997788671j),(-25.238749219512442-7.377384305848825j),19.267603660254693,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-24.538520990449772-5.451964949270093j),(-25.238749219512442-7.377384305848825j),19.12263826776623,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-24.20843357304513-6.334274365940556j),(-25.238749219512442-7.377384305848825j),12.762109299742018,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-24.062800092084295-5.905624533052606j),(-25.238749219512442-7.377384305848825j),9.120596901547037,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-23.941669154880206-6.8115260009571985j),(-25.238749219512442-7.377384305848825j),8.199560265621283,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-21.114054091705423-10.505537971311293j),(-25.238749219512442-7.377384305848825j),7.850513406871354,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-23.18584205780826-4.621651946216623j),(-25.238749219512442-7.377384305848825j),4.523047838642702,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-20.826673253851737-7.141313998348541j),(-25.238749219512442-7.377384305848825j),4.335481440579205,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-23.21587461824002-5.77300061122709j),(-25.238749219512442-7.377384305848825j),3.7630592163090877,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-20.893758338777346-5.25684360598214j),(-25.238749219512442-7.377384305848825j),3.743582295401193,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-27.024961026377408+9.117248275372553j),(-25.238749219512442-7.377384305848825j),3.568087247775739,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-23.045890662758886-4.793860497209892j),(-25.238749219512442-7.377384305848825j),3.405925814014751,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-24.87935640998304-2.3314636089683805j),(-25.238749219512442-7.377384305848825j),3.522361856574613,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-27.11522366993961-7.046196615247973j),(-25.238749219512442-7.377384305848825j),3.103322740119629,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-23.663462845397465-5.23463366769717j),(-25.238749219512442-7.377384305848825j),3.515299092154139,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-25.558926736737256-4.717077277864163j),(-25.238749219512442-7.377384305848825j),2.652087894554137,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-30.8052396808736-5.512062599998253j),(-25.238749219512442-7.377384305848825j),2.296011656099758,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-25.822670684295815-2.8927756862335174j),(-25.238749219512442-7.377384305848825j),2.7055341901774073,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-24.01931471500347-4.407103115521339j),(-25.238749219512442-7.377384305848825j),1.7379272060452258,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-23.283747802645095-2.4264756333100217j),(-25.238749219512442-7.377384305848825j),2.9869607482577836,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-22.955784499464947-7.990816993588865j),(-25.238749219512442-7.377384305848825j),1.7812483570530622,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-32.408944507454336-14.84033150735271j),(-25.238749219512442-7.377384305848825j),2.4280905663695536,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-25.067741277804977-6.581678982019077j),(-25.238749219512442-7.377384305848825j),2.350913893382455,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-24.17169600980688-5.960953493925119j),(-25.238749219512442-7.377384305848825j),2.0643587900681486,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-24.453732166152527-3.9883642187734183j),(-25.238749219512442-7.377384305848825j),1.592962654575199,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-26.8462949679159-7.860117602827387j),(-25.238749219512442-7.377384305848825j),2.7209279877396786,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-26.504903752234863-3.331306951196411j),(-25.238749219512442-7.377384305848825j),1.6526274177816098,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-23.739034823940017-5.364930788675085j),(-25.238749219512442-7.377384305848825j),1.7620039657177198,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-25.18335303210425-1.6488538546547231j),(-25.238749219512442-7.377384305848825j),1.4785144372850256,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-17.668428514975453-7.040079017460436j),(-25.238749219512442-7.377384305848825j),2.3976139354164068,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-35.52937896092491-2.733284543079725j),(-25.238749219512442-7.377384305848825j),1.6361241892493255,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-19.805600034490958-3.800392480016371j),(-25.238749219512442-7.377384305848825j),1.6322775122629813,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-24.07628075854304-6.872420197248193j),(-25.238749219512442-7.377384305848825j),1.8158469057809272,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-24.163107282096966-4.79433993654407j),(-25.238749219512442-7.377384305848825j),1.7449439898068937,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-22.613746953345185-11.299329696457269j),(-25.238749219512442-7.377384305848825j),2.374273862224662,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-26.12180328670627-5.474332696869198j),(-25.238749219512442-7.377384305848825j),1.5142055094473608,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-27.34889418014062-7.690247471052611j),(-25.238749219512442-7.377384305848825j),1.9591542905924804,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-36.712368319132864-12.585281149585096j),(-25.238749219512442-7.377384305848825j),0.9102327949158333,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-25.79575639092554-6.0665375632977305j),(-25.238749219512442-7.377384305848825j),1.0044374051803375,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-25.19384547575846-5.679334486361774j),(-25.238749219512442-7.377384305848825j),1.466241601041018,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-21.58361608899435-13.363323629995397j),(-25.238749219512442-7.377384305848825j),2.2741305709750668,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-24.349308658875778-5.4546778506292615j),(-25.238749219512442-7.377384305848825j),1.1515093751335017,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-21.518764489115515-8.401020679286454j),(-25.238749219512442-7.377384305848825j),1.384577552356518,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-45.12975894875796-11.675031434144227j),(-25.238749219512442-7.377384305848825j),0.9429876615223953,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-22.935375566919497-5.144090461454579j),(-25.238749219512442-7.377384305848825j),1.7128918867816783,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-24.233328078997197-7.21741572928916j),(-25.238749219512442-7.377384305848825j),1.0268229332208907,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-23.80834669066358-3.5395766408886518j),(-25.238749219512442-7.377384305848825j),1.395695786473165,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-23.684658609983188-7.998466066258994j),(-25.238749219512442-7.377384305848825j),0.9952229216134676,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-27.365844493963685-6.952108212977637j),(-25.238749219512442-7.377384305848825j),1.6794437009943977,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-23.560231339092105-4.638282507286558j),(-25.238749219512442-7.377384305848825j),1.1670451998177827,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-23.908410956811803-7.556922831724843j),(-25.238749219512442-7.377384305848825j),1.2376896733788736,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-22.020053145036325-6.925175744369944j),(-25.238749219512442-7.377384305848825j),0.5846552890578542,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-23.535384091489863-6.315139870674514j),(-25.238749219512442-7.377384305848825j),1.7808753537503383,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-22.371119571060536-6.7556449478738j),(-25.238749219512442-7.377384305848825j),1.4686491767726406,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-24.0195832010742-5.4484113667732075j),(-25.238749219512442-7.377384305848825j),1.086390699268898,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-22.042819622920877-3.922576473282744j),(-25.238749219512442-7.377384305848825j),0.7545071071620835,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-23.743349896898902-5.667459805912488j),(-25.238749219512442-7.377384305848825j),0.6631833437769626,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-24.73535014111202-3.439232750526009j),(-25.238749219512442-7.377384305848825j),1.2649612898138882,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-27.057417047137694-4.139915835543819j),(-25.238749219512442-7.377384305848825j),0.6932239096690141,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
(-23.531595825136925-5.370658780821351j),(-25.238749219512442-7.377384305848825j),1.3446236229559518,(-25.212294647754167-7.404354316009711j),(-25.238749219512442-7.377384305848825j)
