E,z,var,E_Final,E_ED
(-41.409464786354754+0.2920936570507534j),(-48.75-26.25j),798.859122129098,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-40.795537661778226-4.311004283690444j),(-48.75-26.25j),611.8094259004,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-39.87733190192277-6.765454269348285j),(-48.75-26.25j),475.2866972830822,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-38.69714668850271-9.11298488928101j),(-48.75-26.25j),407.5710730743241,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-37.71417273133301-10.544401989445701j),(-48.75-26.25j),366.49419916589676,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-37.03353204826572-11.41690481929518j),(-48.75-26.25j),339.8173855691408,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-36.28296834765795-12.36715013457715j),(-48.75-26.25j),335.41483419384895,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-35.83895594652897-12.844248216380123j),(-48.75-26.25j),322.9695263767245,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-35.19764015297401-13.466032379364952j),(-48.75-26.25j),319.2178374723267,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-35.506863609855905-13.075190304560229j),(-48.75-26.25j),320.6933120438532,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-35.05630102168398-13.59287614680907j),(-48.75-26.25j),318.4218848190528,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.97807716155246-13.733419864794344j),(-48.75-26.25j),317.838140608614,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.819214985187266-13.806302386984376j),(-48.75-26.25j),317.09285556755555,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.72418918301928-13.948411698599841j),(-48.75-26.25j),317.03570500396927,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.88967755944917-13.72245146126175j),(-48.75-26.25j),317.3112128513083,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.6466714152836-13.799169871897847j),(-48.75-26.25j),317.00117333222266,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.48052294145641-14.19772288136013j),(-48.75-26.25j),317.10078300605744,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.475451233919856-14.19534596830709j),(-48.75-26.25j),316.9605292714613,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.70805865182494-13.846417533188154j),(-48.75-26.25j),316.7303545024495,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.66798472521377-14.1264747745329j),(-48.75-26.25j),316.869348345454,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.55358654977829-14.267209735845045j),(-48.75-26.25j),317.2463789653685,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.67253891512985-14.117515939713455j),(-48.75-26.25j),316.9814732641754,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.573139712529986-14.199653421267262j),(-48.75-26.25j),317.2906828220063,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.69545363431365-13.941502859179694j),(-48.75-26.25j),316.5673854598973,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.503869414828934-14.300455632942239j),(-48.75-26.25j),317.2721487132436,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.49549047296023-14.223046348287076j),(-48.75-26.25j),316.901108204747,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.35821509974363-14.37444388813668j),(-48.75-26.25j),316.9849097434349,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.65329404973368-13.819245964849637j),(-48.75-26.25j),317.1786773851365,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.6773929789494-13.963255936555637j),(-48.75-26.25j),317.5032819636119,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.59538134434532-14.016540247392484j),(-48.75-26.25j),317.05706495810557,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.73121352474599-13.795361651721734j),(-48.75-26.25j),317.26651976720024,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.609834059976336-14.050916623088305j),(-48.75-26.25j),316.95112114041507,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.433781749580746-14.135933236867146j),(-48.75-26.25j),317.1333970443254,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.401334219405484-14.468117296590583j),(-48.75-26.25j),316.8823769857915,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.36136102331155-14.320595403887197j),(-48.75-26.25j),317.09244485217687,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.45636685849259-14.109875016096035j),(-48.75-26.25j),316.9151453562859,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.50279502530183-14.148973819078297j),(-48.75-26.25j),317.0546338975076,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.58877023164808-14.018493832566092j),(-48.75-26.25j),317.3102002454948,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.64078642967898-14.006399859666354j),(-48.75-26.25j),316.8150690171204,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.151763503976376-14.684180102319624j),(-48.75-26.25j),317.13668317324976,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.40789852563513-14.291476435107523j),(-48.75-26.25j),316.9851954366915,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.45302190986097-14.32401570620171j),(-48.75-26.25j),317.0137526496076,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.44753966291866-14.286930140159182j),(-48.75-26.25j),316.94162377239894,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.64390776827061-13.729040597785687j),(-48.75-26.25j),317.1888931770206,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.19940131438231-14.58814922071407j),(-48.75-26.25j),317.184449163782,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.269846942000214-14.604602083405364j),(-48.75-26.25j),317.1281968393633,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.37534263024856-14.405481584272206j),(-48.75-26.25j),317.1354149580229,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.58880606178377-14.109946598461132j),(-48.75-26.25j),317.1501021420598,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.464847581610236-14.317339566173548j),(-48.75-26.25j),317.0319923988351,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.569326468561634-13.938998763637187j),(-48.75-26.25j),317.1794922598836,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.59771737221405-14.069270252560527j),(-48.75-26.25j),317.0673558507858,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.643237108718246-14.067649297543216j),(-48.75-26.25j),316.94826497202416,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.51616095517956-14.172129068028388j),(-48.75-26.25j),317.0605222793209,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.632323750047576-14.077315912387746j),(-48.75-26.25j),317.00626680309443,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.60154132244279-14.098636807883658j),(-48.75-26.25j),317.2367068501612,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.27130077755976-14.49685208955756j),(-48.75-26.25j),317.12181443028874,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.51363757956765-14.234280263874203j),(-48.75-26.25j),316.98879623614744,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.388307840529166-14.218354640562866j),(-48.75-26.25j),317.22673002434783,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.48941110516404-14.277778336410009j),(-48.75-26.25j),317.03521904541265,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
(-34.64820841648794-13.962504254269046j),(-48.75-26.25j),316.71935748704374,(-25.84860193905915-7.0926323669669395j),(-25.238749219512442-7.377384305848825j)
