ks,hs,Gs_exact,E_estimate
1.0,2.75,(-37.02406088373753+4.900552173254015e-14j),(-37.023049723786166+0.00045497467967632843j)
1.0833333333333333,2.75,(-36.06820943864199+9.540955893774243e-15j),(-36.0725965417266-0.00011479561446240462j)
1.1666666666666667,2.75,(-34.935978040141876+9.181846302853913e-15j),(-34.934893845258706+0.0024890061353449373j)
1.25,2.75,(-33.53560708592591-5.616568231282345e-14j),(-33.538010728227135-0.002235007730872004j)
1.3333333333333333,2.75,(-31.44852688751604+3.0500106691206125e-15j),(-31.790779064879256+0.07888580082783495j)
1.4166666666666665,2.75,(-29.414781464194416-1.699406066600222j),(-30.750075768573666-0.7483994324397005j)
1.5,2.75,(-28.15055949139167+3.169874294513864j),(-30.01176064256085+0.2965775824962571j)
1.5833333333333333,2.75,(-27.077302057365294-4.594472504047708j),(-28.68493010759429+0.27434256177566313j)
1.6666666666666665,2.75,(-26.117248791524496+5.990786567440092j),(-27.497435399805067-0.538697248872651j)
1.75,2.75,(-25.238749219512435-7.377384305848743j),(-27.09668790372163-1.000436537351192j)
