ks,hs,Gs_exact,E_estimate
2.0,2.75,(-22.936932376287988+11.52277788462946j),(-22.877235492898127-11.4816954937545j)
1.9605263157894737,2.75,(-23.273866352691787+10.867605782379265j),(-23.517847737572442-8.427179635738593j)
1.9210526315789473,2.75,(-23.619662860311724-10.212952472855694j),(-23.410866953012874-8.204519912436188j)
1.881578947368421,2.75,(-23.974978723930683+9.558665781471369j),(-23.850158708487346-9.373342788926625j)
1.8421052631578947,2.75,(-24.340564446923604-8.904557196879487j),(-24.266012830161785-8.765098068519197j)
1.8026315789473684,2.75,(-24.717287743802196-8.250374116623615j),(-24.78890366397817-8.222964051379284j)
1.763157894736842,2.75,(-25.10619049745842-7.595762141728644j),(-24.802030896737637-7.603301064062542j)
1.723684210526316,2.75,(-25.508594813028356+6.940252000888468j),(-25.239251815836337-6.629548423175668j)
1.6842105263157894,2.75,(-25.926216680094676-6.2833269181174245j),(-26.022530741671993-6.13416433333043j)
1.6447368421052633,2.75,(-26.36114174956315-5.624540954716358j),(-26.47871414025012-5.355349313065633j)
1.6052631578947367,2.75,(-26.815570665142953-4.963352065434588j),(-26.786773478188586-4.9355576552932146j)
1.5657894736842106,2.75,(-27.29193018872677+4.298115647923126j),(-26.904192057075416-4.473890275209427j)
1.5263157894736843,2.75,(-27.79504568106122-3.624937603498452j),(-27.66159793010194-3.9422388826701327j)
1.486842105263158,2.75,(-28.335986692652188-2.9406857378415943j),(-28.132125994633018-3.0678275977475193j)
1.4473684210526316,2.75,(-28.925332167851227+2.24985222567788j),(-28.58353054254044-2.6524395859969325j)
1.4078947368421053,2.75,(-29.56157233301406-1.534344298648545j),(-28.319657244461162-2.417286105365597j)
1.368421052631579,2.75,(-30.35692607925305-0.746346761312747j),(-27.836982452648417-1.388029646935826j)
1.3289473684210527,2.75,(-31.617245665215112+4.483327135606886e-14j),(-28.9523523316159-0.4281088463612306j)
1.2894736842105263,2.75,(-32.70854283459044-2.9728225580832113e-14j),(-28.80376288897422+0.14156393953173874j)
1.25,2.75,(-33.53560708592571+1.8578444098003324e-14j),(-29.124078006559483-0.4809284000959267j)
