ks,hs,Gs_exact,E_estimate
0.0,1.0,(-21.270888306919186-3.266032795114952e-17j),(-21.26572942835495-0.002555638951139832j)
0.049999999999999996,1.0,(-21.176180606002884+7.978133960902507e-15j),(-21.188522284433645+0.002570057654463491j)
0.09999999999999999,1.0,(-20.868054426001965+2.4179790439839764e-15j),(-20.90037352953535+0.001367216712704527j)
0.15,1.0,(-20.184989239057934-1.353474184645663e-14j),(-20.298160072090358+0.0021642476264496294j)
0.19999999999999998,1.0,(-19.293378211131255-0.8001732961126642j),(-19.28353683225652-0.1399260170573215j)
0.24999999999999997,1.0,(-18.789162169207728+1.6391965710702208j),(-18.360353187291466+0.0950735131509825j)
0.3,1.0,(-18.37357557159701-2.4905925768962476j),(-17.810804830736622+0.13462655857136546j)
0.35,1.0,(-18.007591683994555-3.3571650556070693j),(-17.237030427027268+0.13744387421272303j)
0.39999999999999997,1.0,(-17.675518586351295-4.238325347073346j),(-16.63678045983232+0.0011145121314945364j)
0.44999999999999996,1.0,(-17.368694149874276-5.132887114463724j),(-15.274312035108375+0.42271567012159533j)
0.49999999999999994,1.0,(-17.081796435178543-6.039602315148869j),(-14.67922044538226+0.8338033804607972j)
0.5499999999999999,1.0,(-16.811259343401495+6.9573496603228016j),(-15.62252907611654+1.3134885204758777j)
0.6,1.0,(-16.554559300690443+7.885153298903372j),(-14.350606765869532+2.212440635553161j)
