ks,hs,Gs_exact,E_estimate
0.0,1.0,(-21.270888306919186-3.266032795114952e-17j),(-21.266873839583987-0.0013672254296723688j)
0.049999999999999996,1.0,(-21.176180606002884+7.978133960902507e-15j),(-21.189436599162896-0.0002708562816052757j)
0.09999999999999999,1.0,(-20.868054426001965+2.4179790439839764e-15j),(-20.8989936234956-0.00019603550591448948j)
0.15,1.0,(-20.184989239057934-1.353474184645663e-14j),(-20.286455018916488-0.00018016795388014621j)
0.19999999999999998,1.0,(-19.293378211131255-0.8001732961126642j),(-19.033775803948963+0.0006026084417262658j)
0.24999999999999997,1.0,(-18.789162169207728+1.6391965710702208j),(-17.17468817281314+0.00012748369009985135j)
0.3,1.0,(-18.37357557159701-2.4905925768962476j),(-17.131186357829424+0.0019685774950067444j)
0.35,1.0,(-18.007591683994555-3.3571650556070693j),(-16.60827589489413-0.0018581815697169507j)
0.39999999999999997,1.0,(-17.675518586351295-4.238325347073346j),(-14.12696866477071+0.018585564410255297j)
0.44999999999999996,1.0,(-17.368694149874276-5.132887114463724j),(-14.105888402034292+0.011559022269606556j)
0.49999999999999994,1.0,(-17.081796435178543-6.039602315148869j),(-13.940907999460167+0.013792974797327853j)
0.5499999999999999,1.0,(-16.811259343401495+6.9573496603228016j),(-13.49333612070618+0.027077798628591825j)
0.6,1.0,(-16.554559300690443+7.885153298903372j),(-12.592381289919187+0.583206730005141j)
