ks,hs,Gs_exact,E_estimate
0.0,1.0,(-9.572239785939672-2.3296896989931816e-17j),(-9.57192011775178-7.687002439336976e-05j)
0.049999999999999996,1.0,(-9.529710837114523+1.1364551918686896e-15j),(-9.535689284856659-0.0008866065973250633j)
0.09999999999999999,1.0,(-9.391599425297782+1.984844432351028e-16j),(-9.40487161697788-0.0005071373393263505j)
0.15,1.0,(-9.093971984129714-3.1102643247363226e-15j),(-9.136385792070621-0.00011450764429806854j)
0.19999999999999998,1.0,(-8.683264793579344+0.3829740780233699j),(-7.040317995735643-0.5125343810753805j)
0.24999999999999997,1.0,(-8.463984277262439+0.7320437073043662j),(-7.656888279242829-0.005454909551659878j)
0.3,1.0,(-8.26530755561946+1.1173358773768438j),(-7.679463383704621+0.0031838635926255614j)
0.35,1.0,(-8.10173429327378+1.5116272663277783j),(-7.528083329256369-0.005106711205180804j)
0.39999999999999997,1.0,(-7.954093593951672+1.908104572350866j),(-7.2849767988647445+0.0005742638698128395j)
0.44999999999999996,1.0,(-7.816293284991221-2.3099379629294887j),(-6.915673178392585-0.022540136177211408j)
0.49999999999999994,1.0,(-7.686962248554442-2.717701897054884j),(-6.414112676971848-0.49947849254742144j)
0.5499999999999999,1.0,(-7.5650640720038345+3.1307120649924918j),(-6.289474410299012-0.7357253152751496j)
0.6,1.0,(-7.449514145295945-3.5482898294055487j),(-6.080094381237423-1.1819590062033647j)
