ks,hs,Gs_exact,E_estimate
0.0,0.25,(-4.786119892969802-9.631899366009622e-18j),(-4.784685317782686-2.4552213163945264e-06j)
0.030303030303030304,0.25,(-4.785539323912195+0.26312142188105625j),(-4.785167214676176-0.26350586206908894j)
0.06060606060606061,0.25,(-4.784339891699445-0.5263964295505517j),(-4.78489848786797-0.5264522445981469j)
0.09090909090909091,0.25,(-4.78242786057492-0.7899426607632187j),(-4.782635711755553-0.7898609991546545j)
0.12121212121212122,0.25,(-4.7798938677362575+1.0538365716737337j),(-4.7806391277609945-1.053485534550637j)
0.15151515151515152,0.25,(-4.776825891081298-1.318123410615247j),(-4.776675396730302-1.3186470662029992j)
0.18181818181818182,0.25,(-4.7733033391002255+1.5828275492283819j),(-4.773786141514304-1.5825206164777705j)
0.21212121212121213,0.25,(-4.76939591727857+1.847959828877858j),(-4.769655229974858-1.84802960792049j)
0.24242424242424243,0.25,(-4.765164245912755+2.1135223755159216j),(-4.765510231871701-2.1135793238959204j)
0.2727272727272727,0.25,(-4.7606609947896095+2.379511694175931j),(-4.760957600088541-2.3789377805711087j)
0.30303030303030304,0.25,(-4.7559320635600955-2.645920659868579j),(-4.756332613211823-2.645096000613217j)
0.33333333333333337,0.25,(-4.751017646599818+2.9127398075944906j),(-4.7511138033500115-2.912141285051797j)
0.36363636363636365,0.25,(-4.74595314184714+3.179958173442065j),(-4.7461808351649735-3.179598207153367j)
0.3939393939393939,0.25,(-4.740769907126368-3.4475638437098595j),(-4.7409893267548275-3.44708520661717j)
0.42424242424242425,0.25,(-4.735495881081367-3.7155443111130118j),(-4.735329303702407-3.714243641553659j)
0.4545454545454546,0.25,(-4.730156088023128-3.9838867022185216j),(-4.730567429709964-3.9840188963584184j)
0.48484848484848486,0.25,(-4.724773044511416-4.252577919095178j),(-4.724920122528399-4.251974266045353j)
0.5151515151515151,0.25,(-4.719367083367663-4.521604725037441j),(-4.718999628807507-4.52042823921839j)
0.5454545454545454,0.25,(-4.713956609016693+4.790953795655977j),(-4.713891021408148-4.789780767786614j)
0.5757575757575758,0.25,(-4.708558296665018-5.0606117506161645j),(-4.709064114117444-5.060479174575491j)
0.6060606060606061,0.25,(-4.703187246660068-5.330565176778172j),(-4.703068136318812-5.3299716175783285j)
0.6363636363636364,0.25,(-4.697857104239988-5.600800649923005j),(-4.697880063159571-5.600284590399148j)
0.6666666666666667,0.25,(-4.6925801536690415+5.871304759410182j),(-4.6925890629967455-5.870371489738988j)
0.696969696969697,0.25,(-4.687367394439094+6.142064137905596j),(-4.687046108759203-6.140838048101458j)
0.7272727272727273,0.25,(-4.68222860584711-6.4130654966771115j),(-4.68132970584148-6.411681893911137j)
0.7575757575757576,0.25,(-4.677172404898566+6.684295665822189j),(-4.676599042438056-6.683475232243036j)
0.7878787878787878,0.25,(-4.672206301209058+6.955741638089055j),(-4.671717536782869-6.954870886809164j)
0.8181818181818182,0.25,(-4.667336751438491-7.227390614605485j),(-4.668149563319067-7.228218805689456j)
0.8484848484848485,0.25,(-4.662569214820692-7.499230050743917j),(-4.661965215872239-7.4981023686871815j)
0.8787878787878788,0.25,(-4.657908210570831+7.771247700458713j),(-4.657511612269112-7.770609765372763j)
0.9090909090909092,0.25,(-4.653357377351941-8.043431657659232j),(-4.653270715048938-8.043346622439454j)
0.9393939393939394,0.25,(-4.648919534552766-8.315770393475448j),(-4.648638205888173-8.315231607579575j)
0.9696969696969697,0.25,(-4.644596744843972+8.588252788586313j),(-4.644228609826855-8.588053743063028j)
1.0,0.25,(-4.640390377318874+8.860868160090138j),(-4.6404592505078925-8.86090620762124j)
1.0303030303030303,0.25,(-4.636301170459804+9.133606282676059j),(-4.635834580621614-9.132421956059009j)
1.0606060606060606,0.25,(-4.632329294174564+9.406457404088746j),(-4.631526212438439-9.406618672653272j)
1.0909090909090908,0.25,(-4.62847441020806+9.679412255082607j),(-4.626585539876797-9.677988963556599j)
1.1212121212121213,0.25,(-4.624735730318168+9.95246205419659j),(-4.624907502986528-9.95218076705658j)
1.1515151515151516,0.25,(-4.621112071714413-10.22559850779744j),(-4.620912126753531-10.225416008959519j)
1.1818181818181819,0.25,(-4.617601909368661-10.498813805897697j),(-4.617837659894818-10.499418451647191j)
1.2121212121212122,0.25,(-4.6142034249192125+10.772100614294311j),(-4.614021604669671-10.772217971591044j)
1.2424242424242424,0.25,(-4.610914551991278-11.045452063579853j),(-4.610298233660104-11.045070673093125j)
1.2727272727272727,0.25,(-4.607733017850393+11.318861735565147j),(-4.607937281743889-11.319373836757158j)
