ks,hs,Gs_exact,E_estimate
0.0,1.0,(-9.572239785939672-2.3296896989931816e-17j),(-9.571745169684988-0.0004341575874480088j)
0.049999999999999996,1.0,(-9.529710837114523+1.1364551918686896e-15j),(-9.55514883423718-0.0009815267861307637j)
0.09999999999999999,1.0,(-9.391599425297782+1.984844432351028e-16j),(-9.480616443773293+0.005983378875988025j)
0.15,1.0,(-9.093971984129714-3.1102643247363226e-15j),(-9.340082247116658-0.002044094953680011j)
0.19999999999999998,1.0,(-8.683264793579344+0.3829740780233699j),(-9.14197072902393+0.0020679716979847234j)
0.24999999999999997,1.0,(-8.463984277262439+0.7320437073043662j),(-8.902877836954028-0.00838574904191736j)
0.3,1.0,(-8.26530755561946+1.1173358773768438j),(-8.631729703378522-0.006666283026326014j)
0.35,1.0,(-8.10173429327378+1.5116272663277783j),(-8.345951242029756-0.008646983664132031j)
0.39999999999999997,1.0,(-7.954093593951672+1.908104572350866j),(-8.068045894044465-0.014476541618354032j)
0.44999999999999996,1.0,(-7.816293284991221-2.3099379629294887j),(-7.825628943094775-0.01015026701473986j)
0.49999999999999994,1.0,(-7.686962248554442-2.717701897054884j),(-7.592580952480972-0.009467059243564408j)
0.5499999999999999,1.0,(-7.5650640720038345+3.1307120649924918j),(-7.368086760229745-0.004620541119522476j)
0.6,1.0,(-7.449514145295945-3.5482898294055487j),(-7.1586371351661855-0.003557215720950686j)
